day,high,low
2020-10-01,81.0524755370885,54.11255230375432
2020-10-02,83.34231345558979,53.2686717032
2020-10-03,82.1453264197163,53.457928300676286
2020-10-04,80.53449366821894,50.20450638410326
2020-10-05,79.39209639158653,49.41075673595308
2020-10-06,81.01441984142853,52.08482555032553
2020-10-07,80.06963050722499,50.95690562451047
2020-10-08,78.7685872548415,51.27224403921672
2020-10-09,76.58832456270676,48.59691534948813
2020-10-10,64.50653400584491,47.45135142807041
2020-10-11,58.826485315124245,41.52290886654426
2020-10-12,69.59211372830886,51.96211263591821
2020-10-13,67.40022704681606,48.63174979318121
2020-10-14,60.58185147839142,44.304292464461795
2020-10-15,57.575550576930105,37.393425584636624
2020-10-16,69.19421039174031,39.81471023257553
2020-10-17,68.09741560884459,47.127207011705345
2020-10-18,70.06437717577967,45.169269064537595
2020-10-19,66.90134456172997,48.30805546354048
2020-10-20,60.82818169778407,46.38966222786642
2020-10-21,60.92470609589476,43.11001864842886
2020-10-22,51.68428665763953,31.45826378279641
2020-10-23,55.376694028581575,32.05636887688016
2020-10-24,53.70912411023095,31.40841430424427
2020-10-25,43.904573575429104,24.770513209231332
2020-10-26,44.171706714323086,20.350794304331444
2020-10-27,57.35393300592863,29.081380965367426
2020-10-28,62.741942219771715,34.53000746402165
2020-10-29,68.23064378675103,40.99047558412492
2020-10-30,73.4763371282673,39.01447835029856
2020-10-31,57.529216382718324,35.224392903525015
2020-11-01,62.490216582773634,35.26241802973318
2020-11-02,65.86236083724845,38.28492930586717
2020-11-03,67.84686618926041,37.329407924129626
2020-11-04,72.01608973630076,39.85518155611479
2020-11-05,74.83434757406498,44.53223888927892
2020-11-06,68.17160907547361,44.71205036903893
2020-11-07,48.15357260137881,32.126695255778536
2020-11-08,33.67621338642588,29.56667941973453
2020-11-09,35.477171079790594,26.899084897740494
2020-11-10,41.821073596128116,29.590151816681743
2020-11-11,40.373853925705646,27.577258119767226
2020-11-12,42.224758139824196,25.578715966507218
2020-11-13,43.329617484306766,32.431795886735564
2020-11-14,43.68488320210626,32.668802994611866
2020-11-15,44.67709512355325,36.446757227549206
2020-11-16,55.03195895765866,42.26400684282018
2020-11-17,61.42021133391343,39.35747659752819
2020-11-18,54.3483812052574,41.25518932584425
2020-11-19,49.06111151208148,33.97309422364043
2020-11-20,46.36662945606864,28.68011449951143
2020-11-21,42.08458280331008,25.06063464737932
2020-11-22,40.30425948816311,24.352960207237142
2020-11-23,40.33051968211139,26.286409503994008
2020-11-24,45.59849991053366,26.998434387936484
2020-11-25,41.49566565970397,31.58279736954757
2020-11-26,42.996309985922515,27.5514802028455
